PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
National,X,2025,10,4.31624,4.27937,18355,31581,X,35725,14183,14557,114401,4217,2673313
National,X,2025,11,3.87896,3.88193,17120,28546,X,33043,12492,12642,103843,4199,2675033
National,X,2025,12,3.31298,3.3253,15132,24188,X,28210,10045,10436,88011,4183,2646707
National,X,2025,13,2.95274,2.96861,13738,21531,X,25356,8398,8463,77486,4194,2610179
National,X,2025,14,2.61962,2.61336,12056,18660,X,21895,7321,7159,67091,4188,2567235
National,X,2025,15,2.4692,2.39067,11752,16750,X,19995,6491,6415,61403,4188,2568442
National,X,2025,16,2.27703,2.21175,11209,15589,X,17778,5949,6128,56653,4176,2561455
National,X,2025,17,2.22224,2.10705,11104,15298,X,16613,5826,6082,54923,4171,2606634
National,X,2025,18,2.05344,1.95471,10314,13397,X,15656,5210,5597,50174,4111,2566829
National,X,2025,19,1.95472,1.84511,9867,12503,X,15050,5005,5208,47633,4133,2581587
National,X,2025,20,1.92569,1.80446,10025,12092,X,14756,4846,4993,46712,4120,2588694
National,X,2025,21,1.87332,1.76616,9732,11812,X,13815,4762,4979,45100,4072,2553561
National,X,2025,22,1.89102,1.78037,9691,11716,X,12285,4778,5017,43487,4067,2442589
National,X,2025,23,1.64855,1.57139,8062,11116,X,10035,4556,4906,38675,3873,2461202
